length,domain,segments
3,emp.br,2
3,eng.br,2
3,esp.br,2
3,etc.br,2
3,eti.br,2
3,far.br,2
3,flog.br,2
3,fm.br,2
3,fnd.br,2
3,fot.br,2
3,fst.br,2
3,g12.br,2
3,ggf.br,2
3,gov.br,2
3,imb.br,2
3,ind.br,2
3,inf.br,2
3,jor.br,2
3,jus.br,2
3,leg.br,2
3,lel.br,2
3,mat.br,2
3,med.br,2
3,mil.br,2
3,mp.br,2
3,mus.br,2
3,net.br,2
3,nom.br,2
3,not.br,2
3,ntr.br,2
3,odo.br,2
3,org.br,2
3,ppg.br,2
3,pro.br,2
3,psc.br,2
3,psi.br,2
3,qsl.br,2
3,radio.br,2
3,rec.br,2
3,slg.br,2
3,srv.br,2
3,taxi.br,2
3,teo.br,2
3,tmp.br,2
3,trd.br,2
3,tur.br,2
3,tv.br,2
3,vet.br,2
3,vlog.br,2
3,wiki.br,2
3,zlg.br,2
2,bs,1
3,com.bs,2
3,net.bs,2
3,org.bs,2
3,edu.bs,2
3,gov.bs,2
2,bt,1
3,com.bt,2
3,edu.bt,2
3,gov.bt,2
3,net.bt,2
3,org.bt,2
2,bv,1
2,bw,1
3,co.bw,2
3,org.bw,2
2,by,1
3,gov.by,2
3,mil.by,2
3,com.by,2
3,of.by,2
2,bz,1
3,com.bz,2
3,net.bz,2
3,org.bz,2
3,edu.bz,2
3,gov.bz,2
2,ca,1
3,ab.ca,2
3,bc.ca,2
3,mb.ca,2
3,nb.ca,2
3,nf.ca,2
3,nl.ca,2
3,ns.ca,2
3,nt.ca,2
3,nu.ca,2
3,on.ca,2
3,pe.ca,2
3,qc.ca,2
3,sk.ca,2
3,yk.ca,2
3,gc.ca,2
2,cat,1
2,cc,1
2,cd,1
3,gov.cd,2
2,cf,1
2,cg,1
2,ch,1
2,ci,1
3,org.ci,2
3,or.ci,2
3,com.ci,2
3,co.ci,2
3,edu.ci,2
3,ed.ci,2
3,ac.ci,2
3,net.ci,2
3,go.ci,2
3,asso.ci,2
3,xn--aroport-bya.ci,2
3,aéroport.ci,2
3,int.ci,2
3,presse.ci,2
3,md.ci,2
3,gouv.ci,2
3,ck,1
2,www.ck,2
2,cl,1
3,gov.cl,2
3,gob.cl,2
3,co.cl,2
3,mil.cl,2
2,cm,1
3,co.cm,2
3,com.cm,2
3,gov.cm,2
3,net.cm,2
2,cn,1
3,ac.cn,2
3,com.cn,2
3,edu.cn,2
3,gov.cn,2
3,net.cn,2
3,org.cn,2
3,mil.cn,2
3,公司.cn,2
3,xn--55qx5d.cn,2
3,网络.cn,2
3,xn--io0a7i.cn,2
3,xn--od0alg.cn,2
3,網絡.cn,2
3,ah.cn,2
3,bj.cn,2
3,cq.cn,2
3,fj.cn,2
3,gd.cn,2
3,gs.cn,2
3,gz.cn,2
3,gx.cn,2
3,ha.cn,2
3,hb.cn,2
3,he.cn,2
3,hi.cn,2
